City;Temperature (C);Wind Speed (m/s);Humidity (%);Temperature (F);Wind Speed (mph)
Sydney;7.3;0.5;85;45.1;1.1
Cape Town;14.1;27.8;90;57.4;62.2
Moscow;14.9;3.6;60;58.8;8.1
Berlin;18.8;12.8;59;65.8;28.6
New York;22.0;18.6;41;71.6;41.6
Tokyo;22.3;2.6;91;72.1;5.8
London;22.8;17.9;60;73.0;40.0
Rio de Janeiro;24.5;7.9;67;76.1;17.7
Paris;26.6;5.6;51;79.9;12.5
Mumbai;28.4;27.2;84;83.1;60.8
