City;Temperature (C);Wind Speed (m/s);Humidity (%);Temperature (F);Wind Speed (mph)
Sydney;7.7;1.5;84;45.9;3.4
Cape Town;14.1;28.4;90;57.4;63.5
Moscow;15.9;3.1;55;60.6;6.9
Berlin;18.8;12.8;61;65.8;28.6
Tokyo;22.8;3.0;82;73.0;6.7
New York;23.7;21.1;43;74.7;47.2
London;24.0;17.3;54;75.2;38.7
Rio de Janeiro;25.9;10.0;62;78.6;22.4
Paris;27.4;8.1;50;81.3;18.1
Mumbai;28.4;27.3;86;83.1;61.1
