City;Temperature (C);Wind Speed (m/s);Humidity (%);Temperature (F);Wind Speed (mph)
Sydney;7.3;0.4;85;45.1;0.9
Cape Town;14.0;27.4;90;57.2;61.3
Moscow;14.6;3.3;66;58.3;7.4
Berlin;18.5;12.7;62;65.3;28.4
New York;21.2;17.3;47;70.2;38.7
London;22.1;17.1;67;71.8;38.3
Tokyo;22.2;2.9;90;72.0;6.5
Rio de Janeiro;24.0;6.1;76;75.2;13.6
Paris;26.3;4.0;51;79.3;8.9
Mumbai;28.4;27.2;84;83.1;60.8
