City;Temperature (C);Wind Speed (m/s);Humidity (%);Temperature (F);Wind Speed (mph)
Sydney;7.2;0.0;85;45.0;0.0
Cape Town;13.9;27.8;90;57.0;62.2
Moscow;14.2;3.3;66;57.6;7.4
Berlin;18.2;11.8;62;64.8;26.4
New York;20.7;16.9;44;69.3;37.8
London;21.5;16.1;67;70.7;36.0
Tokyo;22.7;2.5;90;72.9;5.6
Rio de Janeiro;23.2;4.8;76;73.8;10.7
Paris;25.9;3.2;51;78.6;7.2
Mumbai;28.4;27.3;84;83.1;61.1
